gesl,bin,variable,N
Otto,43,"Szenario 1 (Höherbewertung Kindererziehungszeiten)",5
Marie,39,"Szenario 1 (Höherbewertung Kindererziehungszeiten)",7
Marie,41,"Szenario 1 (Höherbewertung Kindererziehungszeiten)",3
Otto,1,"Szenario 1 (Höherbewertung Kindererziehungszeiten)",45
Otto,46,"Szenario 1 (Höherbewertung Kindererziehungszeiten)",1
Otto,44,"Szenario 1 (Höherbewertung Kindererziehungszeiten)",1
Marie,40,"Szenario 1 (Höherbewertung Kindererziehungszeiten)",1
Marie,13,"Szenario 2 (Höherbewertung Zeiten der Arbeitslosigkeit)",14531
Marie,25,"Szenario 2 (Höherbewertung Zeiten der Arbeitslosigkeit)",3615
Marie,15,"Szenario 2 (Höherbewertung Zeiten der Arbeitslosigkeit)",12867
Marie,10,"Szenario 2 (Höherbewertung Zeiten der Arbeitslosigkeit)",15061
Marie,19,"Szenario 2 (Höherbewertung Zeiten der Arbeitslosigkeit)",8025
Marie,12,"Szenario 2 (Höherbewertung Zeiten der Arbeitslosigkeit)",14933
Marie,8,"Szenario 2 (Höherbewertung Zeiten der Arbeitslosigkeit)",13322
Marie,11,"Szenario 2 (Höherbewertung Zeiten der Arbeitslosigkeit)",15050
Marie,9,"Szenario 2 (Höherbewertung Zeiten der Arbeitslosigkeit)",14311
Marie,7,"Szenario 2 (Höherbewertung Zeiten der Arbeitslosigkeit)",12154
Marie,23,"Szenario 2 (Höherbewertung Zeiten der Arbeitslosigkeit)",4634
Marie,16,"Szenario 2 (Höherbewertung Zeiten der Arbeitslosigkeit)",11742
Marie,17,"Szenario 2 (Höherbewertung Zeiten der Arbeitslosigkeit)",10688
Marie,6,"Szenario 2 (Höherbewertung Zeiten der Arbeitslosigkeit)",10657
Marie,18,"Szenario 2 (Höherbewertung Zeiten der Arbeitslosigkeit)",9437
Marie,22,"Szenario 2 (Höherbewertung Zeiten der Arbeitslosigkeit)",5302
Marie,14,"Szenario 2 (Höherbewertung Zeiten der Arbeitslosigkeit)",13839
Marie,20,"Szenario 2 (Höherbewertung Zeiten der Arbeitslosigkeit)",6959
Marie,5,"Szenario 2 (Höherbewertung Zeiten der Arbeitslosigkeit)",8344
Marie,30,"Szenario 2 (Höherbewertung Zeiten der Arbeitslosigkeit)",1295
Marie,21,"Szenario 2 (Höherbewertung Zeiten der Arbeitslosigkeit)",6086
Marie,4,"Szenario 2 (Höherbewertung Zeiten der Arbeitslosigkeit)",5074
Marie,26,"Szenario 2 (Höherbewertung Zeiten der Arbeitslosigkeit)",2996
Marie,3,"Szenario 2 (Höherbewertung Zeiten der Arbeitslosigkeit)",2391
Marie,24,"Szenario 2 (Höherbewertung Zeiten der Arbeitslosigkeit)",4039
Marie,31,"Szenario 2 (Höherbewertung Zeiten der Arbeitslosigkeit)",1001
Otto,29,"Szenario 2 (Höherbewertung Zeiten der Arbeitslosigkeit)",7181
Marie,32,"Szenario 2 (Höherbewertung Zeiten der Arbeitslosigkeit)",683
Marie,29,"Szenario 2 (Höherbewertung Zeiten der Arbeitslosigkeit)",1652
Marie,2,"Szenario 2 (Höherbewertung Zeiten der Arbeitslosigkeit)",692
Marie,27,"Szenario 2 (Höherbewertung Zeiten der Arbeitslosigkeit)",2594
Marie,35,"Szenario 2 (Höherbewertung Zeiten der Arbeitslosigkeit)",128
Marie,28,"Szenario 2 (Höherbewertung Zeiten der Arbeitslosigkeit)",2072
Otto,25,"Szenario 2 (Höherbewertung Zeiten der Arbeitslosigkeit)",9385
Otto,33,"Szenario 2 (Höherbewertung Zeiten der Arbeitslosigkeit)",5389
Otto,35,"Szenario 2 (Höherbewertung Zeiten der Arbeitslosigkeit)",3639
Otto,28,"Szenario 2 (Höherbewertung Zeiten der Arbeitslosigkeit)",7539
Otto,34,"Szenario 2 (Höherbewertung Zeiten der Arbeitslosigkeit)",4576
Otto,37,"Szenario 2 (Höherbewertung Zeiten der Arbeitslosigkeit)",1799
