gesl,bin,variable,N
Marie,21,"Szenario 5
(Beste 15 Jahre)",7531
Marie,14,"Szenario 5
(Beste 15 Jahre)",11099
Marie,7,"Szenario 5
(Beste 15 Jahre)",8888
Marie,12,"Szenario 5
(Beste 15 Jahre)",10968
Marie,10,"Szenario 5
(Beste 15 Jahre)",10627
Marie,5,"Szenario 5
(Beste 15 Jahre)",7829
Marie,23,"Szenario 5
(Beste 15 Jahre)",6244
Marie,8,"Szenario 5
(Beste 15 Jahre)",9612
Marie,27,"Szenario 5
(Beste 15 Jahre)",4405
Marie,20,"Szenario 5
(Beste 15 Jahre)",8341
Marie,4,"Szenario 5
(Beste 15 Jahre)",6545
Marie,17,"Szenario 5
(Beste 15 Jahre)",10149
Marie,26,"Szenario 5
(Beste 15 Jahre)",4749
Marie,25,"Szenario 5
(Beste 15 Jahre)",5315
Marie,13,"Szenario 5
(Beste 15 Jahre)",11158
Marie,30,"Szenario 5
(Beste 15 Jahre)",3039
Marie,6,"Szenario 5
(Beste 15 Jahre)",8227
Marie,36,"Szenario 5
(Beste 15 Jahre)",1416
Marie,40,"Szenario 5
(Beste 15 Jahre)",406
Marie,29,"Szenario 5
(Beste 15 Jahre)",3457
Marie,31,"Szenario 5
(Beste 15 Jahre)",2867
Marie,22,"Szenario 5
(Beste 15 Jahre)",7060
Marie,19,"Szenario 5
(Beste 15 Jahre)",9163
Marie,24,"Szenario 5
(Beste 15 Jahre)",5693
Marie,18,"Szenario 5
(Beste 15 Jahre)",9742
Marie,9,"Szenario 5
(Beste 15 Jahre)",10291
Marie,15,"Szenario 5
(Beste 15 Jahre)",10914
Marie,34,"Szenario 5
(Beste 15 Jahre)",1877
Marie,3,"Szenario 5
(Beste 15 Jahre)",3957
Marie,35,"Szenario 5
(Beste 15 Jahre)",1598
Marie,2,"Szenario 5
(Beste 15 Jahre)",1003
Marie,37,"Szenario 5
(Beste 15 Jahre)",1080
Otto,41,"Szenario 5
(Beste 15 Jahre)",3370
Marie,32,"Szenario 5
(Beste 15 Jahre)",2432
Marie,33,"Szenario 5
(Beste 15 Jahre)",2148
Marie,39,"Szenario 5
(Beste 15 Jahre)",612
Marie,38,"Szenario 5
(Beste 15 Jahre)",864
Otto,28,"Szenario 5
(Beste 15 Jahre)",7720
Otto,36,"Szenario 5
(Beste 15 Jahre)",6041
Otto,33,"Szenario 5
(Beste 15 Jahre)",5661
Otto,44,"Szenario 5
(Beste 15 Jahre)",975
Otto,42,"Szenario 5
(Beste 15 Jahre)",2507
Otto,40,"Szenario 5
(Beste 15 Jahre)",2953
Otto,29,"Szenario 5
(Beste 15 Jahre)",7311
Otto,27,"Szenario 5
(Beste 15 Jahre)",8203
Otto,24,"Szenario 5
(Beste 15 Jahre)",8055
Otto,25,"Szenario 5
(Beste 15 Jahre)",8379
Otto,21,"Szenario 5
(Beste 15 Jahre)",5873
Otto,9,"Szenario 5
(Beste 15 Jahre)",1656
Otto,22,"Szenario 5
(Beste 15 Jahre)",6714
Otto,34,"Szenario 5
(Beste 15 Jahre)",6040
Otto,15,"Szenario 5
(Beste 15 Jahre)",2446
Otto,37,"Szenario 5
(Beste 15 Jahre)",4683
Otto,32,"Szenario 5
(Beste 15 Jahre)",6262
Otto,35,"Szenario 5
(Beste 15 Jahre)",5487
Otto,38,"Szenario 5
(Beste 15 Jahre)",4815
Otto,31,"Szenario 5
(Beste 15 Jahre)",6386
Otto,5,"Szenario 5
(Beste 15 Jahre)",1077
Otto,43,"Szenario 5
(Beste 15 Jahre)",2436
Otto,20,"Szenario 5
(Beste 15 Jahre)",5101
Otto,30,"Szenario 5
(Beste 15 Jahre)",6790
Otto,16,"Szenario 5
(Beste 15 Jahre)",2742
Otto,23,"Szenario 5
(Beste 15 Jahre)",7384
Otto,26,"Szenario 5
(Beste 15 Jahre)",8268
Otto,7,"Szenario 5
(Beste 15 Jahre)",1433
Otto,39,"Szenario 5
(Beste 15 Jahre)",4546
Otto,18,"Szenario 5
(Beste 15 Jahre)",3654
Otto,19,"Szenario 5
(Beste 15 Jahre)",4365
Otto,14,"Szenario 5
(Beste 15 Jahre)",2353
Otto,12,"Szenario 5
(Beste 15 Jahre)",2146
Otto,11,"Szenario 5
(Beste 15 Jahre)",1948
Otto,10,"Szenario 5
(Beste 15 Jahre)",1824
Otto,17,"Szenario 5
(Beste 15 Jahre)",3004
Otto,6,"Szenario 5
(Beste 15 Jahre)",1302
Otto,8,"Szenario 5
(Beste 15 Jahre)",1527
Otto,4,"Szenario 5
(Beste 15 Jahre)",754
Otto,45,"Szenario 5
(Beste 15 Jahre)",398
Otto,13,"Szenario 5
(Beste 15 Jahre)",2223
Marie,41,"Szenario 5
(Beste 15 Jahre)",205
Otto,2,"Szenario 5
(Beste 15 Jahre)",258
Otto,3,"Szenario 5
(Beste 15 Jahre)",504
Marie,1,"Szenario 5
(Beste 15 Jahre)",116
Marie,44,"Szenario 5
(Beste 15 Jahre)",5
Otto,46,"Szenario 5
(Beste 15 Jahre)",49
Marie,42,"Szenario 5
(Beste 15 Jahre)",72
Otto,1,"Szenario 5
(Beste 15 Jahre)",53
Marie,43,"Szenario 5
(Beste 15 Jahre)",20
Marie,45,"Szenario 5
(Beste 15 Jahre)",3
Marie,46,"Szenario 5
(Beste 15 Jahre)",1
